engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
610,483,117,92
465,392,70,45
482,53,121,68
422,117,150,48
198,189,166,11
842,199,66,62
117,153,65,27
695,404,183,55
206,53,38,32
223,445,194,63
669,309,93,99
314,293,82,84
837,272,159,10
196,312,174,45
213,315,112,93
738,137,158,81
147,64,151,49
173,427,65,97
644,248,142,93
324,190,171,88
211,488,45,39
509,77,47,29
439,344,130,47
946,451,23,11
353,495,119,15
520,416,105,91
708,380,196,45
308,405,76,87
168,166,107,35
917,149,120,80
923,243,152,68
551,353,89,39
102,66,132,91
440,183,76,31
139,410,80,26
422,159,157,40
696,136,181,65
659,96,89,90
604,321,144,40
276,365,157,22
235,346,48,93
973,459,86,26
199,351,30,48
480,483,23,17
960,306,196,47
280,469,23,24
458,463,43,10
965,435,54,12
313,374,57,47
730,464,69,57
962,441,107,72
511,399,105,71
390,110,173,24
688,371,165,71
780,422,65,91
999,304,30,47
206,373,156,29
937,350,45,68
676,357,119,16
943,185,87,81
518,138,135,87
926,191,85,88
494,462,27,80
890,414,119,61
817,369,187,13
246,390,186,10
584,470,153,87
371,169,157,47
511,427,188,62
865,474,88,93
258,422,169,12
280,300,109,24
682,497,70,12
465,108,184,42
471,127,64,92
254,58,112,65
820,256,103,42
490,440,101,40
882,115,147,13
355,272,128,89
344,248,81,88
459,90,124,31
229,425,34,40
655,126,43,69
286,203,82,94
457,173,176,41
795,185,137,80
637,319,100,17
534,478,172,87
924,301,146,71
405,307,163,98
880,297,197,37
630,219,147,75
565,256,104,26
613,490,137,11
151,113,24,17
985,53,169,47
845,67,52,29
404,138,187,73
156,288,149,30
